Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MURATA,1,Buzzer,
C2,1206,1,10uF tantalum,
D1,1206,1,LED,
IC1,PLCC52-S,1,MC68008FN,
J1,CUI_RCJ-044,1,RCJ-044,
J10,PinHeader_1x10_P2.54mm_Vertical,1,RTC_OPTION,
J11,PinHeader_1x10_P2.54mm_Vertical,1,SERIAL_OPTION,
J2,CUI_MD-60S,1,MD-60S,
J3,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Overclock jumper,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J6,PinHeader_1x02_P2.54mm_Vertical,1,POWER INPUT,
J8,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J9,PinHeader_1x06_P2.54mm_Vertical,1,ICSP,
Q1,SOT-23-3,1,NPN,
R1,1206,1,330,
"R10, R3, R9",1206,3,1K,
R2,1206,1,680,
"R4, R5, R6, R7",1206,4,5K1,
R8,1206,1,220,
U11,QFP50P1400X1400X120-80N,1,PIC18F87J11T-I_PT,
U2,TSOP-I-48_18.4x12mm_P0.5mm,1,~,
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,74LV00,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,74LV74,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
Y1,Oscillator_DIP-14,1,OCXO-14,
