Designator,Mid X,Mid Y,Rotation,Layer
BZ1,202.346,-88.785,180.0,top
C2,143.121,-128.685,0.0,top
D1,188.171,-127.01,180.0,top
IC1,165.471,-88.36,180.0,top
J1,227.6375,-47.0,0.0,top
J10,96.346,-67.965,0.0,top
J11,127.346,-67.965,0.0,top
J2,226.204,-64.435,90.0,top
J3,227.246,-86.96,270.0,top
J4,107.381,-134.36,270.0,top
J5,230.021,-109.78,90.0,top
J6,207.371,-123.705,0.0,top
J8,214.831,-135.485,90.0,top
J9,196.371,-126.61,0.0,top
Q1,205.471,-76.2225,180.0,top
R1,214.196,-41.5,0.0,top
R10,208.1335,-131.785,0.0,top
R2,213.8335,-47.46,0.0,top
R3,199.2585,-77.235,0.0,top
R4,214.0335,-61.01,0.0,top
R5,213.7335,-67.735,0.0,top
R6,221.3335,-104.96,0.0,top
R7,221.346,-112.285,0.0,top
R8,194.4585,-109.56,0.0,top
R9,214.3085,-131.535,0.0,top
U11,165.8235,-122.31,0.0,top
U2,164.3085,-49.735,180.0,top
U3,127.021,-120.035,270.0,top
U4,126.046,-105.21,270.0,top
U5,220.0835,-124.81,270.0,top
U6,209.971,-109.465,270.0,top
Y1,101.571,-121.11,0.0,top
